"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","20","    @GetMapping(""/kolb/questions"")","InstrumentQuestionController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\instrument\InstrumentQuestionController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","25","    @GetMapping(""/felder-silverman/questions"")","InstrumentQuestionController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\instrument\InstrumentQuestionController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","33","    @GetMapping(""/kuder/questions"")","InstrumentQuestionController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\instrument\InstrumentQuestionController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","22","@RequestMapping(""/api/v1/interventions"")","EducationalInterventionController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\intervention\EducationalInterventionController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","27","    @PostMapping","EducationalInterventionController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\intervention\EducationalInterventionController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","34","    @GetMapping(""/students/{studentId}"")","EducationalInterventionController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\intervention\EducationalInterventionController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","16","@RequestMapping(""/api/v1/ml/experiments"")","MlExperimentController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\mlmodels\MlExperimentController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","21","    @GetMapping","MlExperimentController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\mlmodels\MlExperimentController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","30","    @GetMapping(""/algorithm/{algorithm}"")","MlExperimentController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\mlmodels\MlExperimentController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","13","@RequestMapping(""/api/v1/ml/kolb/random-forest"")","RandomForestKolbController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\mlmodels\RandomForestKolbController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","18","    @PostMapping(""/evaluate"")","RandomForestKolbController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\mlmodels\RandomForestKolbController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","13","@RequestMapping(""/api/v1/ml/kolb"")","KolbMlPipelineController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\mlpipeline\KolbMlPipelineController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","18","    @PostMapping(""/baseline/evaluate"")","KolbMlPipelineController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\mlpipeline\KolbMlPipelineController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","14","@RequestMapping(""/api/v1/recommendations"")","EducationalRecommendationController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\recommendation\EducationalRecommendationController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","19","    @GetMapping(""/students/{studentId}"")","EducationalRecommendationController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\recommendation\EducationalRecommendationController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","12","@RequestMapping(""/analytics/accountability"")","AccountabilityResponsibilityController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\research\AccountabilityResponsibilityController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","18","    @GetMapping(""/responsibility-preview"")","AccountabilityResponsibilityController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\research\AccountabilityResponsibilityController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","12","@RequestMapping(""/analytics/openapi"")","ApiLifecycleGovernanceController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\research\ApiLifecycleGovernanceController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","18","    @GetMapping(""/lifecycle-preview"")","ApiLifecycleGovernanceController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\research\ApiLifecycleGovernanceController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","12","@RequestMapping(""/analytics/openapi"")","ApiSecurityGovernanceController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\research\ApiSecurityGovernanceController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","18","    @GetMapping(""/security-governance-preview"")","ApiSecurityGovernanceController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\research\ApiSecurityGovernanceController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","12","@RequestMapping(""/analytics/quality"")","ApiVersioningReadinessController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\research\ApiVersioningReadinessController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","18","    @GetMapping(""/api-versioning-preview"")","ApiVersioningReadinessController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\research\ApiVersioningReadinessController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","12","@RequestMapping(""/analytics/architecture"")","ArchitectureDecisionRecordsController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\research\ArchitectureDecisionRecordsController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","18","    @GetMapping(""/adr-preview"")","ArchitectureDecisionRecordsController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\research\ArchitectureDecisionRecordsController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","12","@RequestMapping(""/analytics/architecture"")","ArchitectureDocumentationController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\research\ArchitectureDocumentationController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","18","    @GetMapping(""/documentation-preview"")","ArchitectureDocumentationController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\research\ArchitectureDocumentationController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","12","@RequestMapping(""/analytics/architecture"")","ArchitectureEvaluationMatrixController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\research\ArchitectureEvaluationMatrixController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","18","    @GetMapping(""/evaluation-matrix-preview"")","ArchitectureEvaluationMatrixController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\research\ArchitectureEvaluationMatrixController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
